Wall time,Step,Value
1718986092.3605523,113,0.3493154813610826
1718986090.8171303,114,-0.12422789250983202
1718986094.434538,117,0.4591113249293476
1718986122.6166773,152,0.361238722271941
1718986173.2944188,217,-0.5221249187292183
1718986173.5933297,217,-0.263353549036391
1718986177.7581508,222,0.11869123932878231
1718986185.1579082,232,0.6573140970220347
1718986203.4092183,252,0.4119394561860884
1718986226.8572729,283,0.5170978974769438
1718986229.028062,285,0.2500027920868857
1718986251.6640694,314,0.28590349468938325
1718986252.3039734,314,-0.3807901273032428
1718986253.097987,315,-0.3339155017100861
1718986264.257242,327,0.30890118219525176
1718986275.1349347,341,0.031461637579688145
1718986276.8476133,343,-0.13986647973567906
1718986275.8306205,344,-0.1480857548275718
1718986283.8328817,354,-0.22932433538763738
1718986284.9349067,356,0.35277020297388384
1718986297.7950995,371,0.29611723644809806
1718986298.3513372,373,-0.005668853621872999
1718986299.251992,374,-0.44997082599318117
1718986333.0525203,415,0.41992164844144886
1718986334.0612462,416,-0.1407302931049961
1718986345.9338694,433,0.4655449131761612
1718986348.4453688,434,-0.3300220149066898
1718986359.1294694,448,0.38791360315032286
1718986358.209976,450,0.43828538147782536
1718986368.3990862,462,0.29252241606914287
1718986369.5505373,463,-0.09790331574116784
1718986371.6064281,464,-0.08090172786927219
1718986375.6020288,471,-0.25116598890711667
1718986431.7958958,541,0.23247893217779336
1718986483.3547783,605,0.25422583005063304
1718986535.719754,669,0.058469359525386455
1718986586.0885682,733,-0.003297925624193121
1718986634.880051,797,0.9092976797874932
1718986787.5580337,989,0.2652947482043697
1718986839.2477415,1053,-0.11495344595711604
1718986936.0377123,1181,0.4180791872188594
1718987038.558985,1309,0.6917663587038059
1718987088.6864796,1373,0.17362855082248818
1718987142.0237079,1437,-0.19319447123949296
1718987193.697912,1501,0.8103804885379833
1718987245.5858169,1565,0.7337405617961585
1718987341.3094537,1693,-0.19313188000728626
1718987390.7849734,1757,-0.08257769074548976
1718987440.2705438,1821,-0.03789119666551527
1718987491.0283177,1885,-0.13657191632389432
1718987591.8612742,2013,0.591025161995961
1718987696.4432187,2141,0.8498973131231817
1718987745.421178,2205,0.48270069288608064
1718987846.395079,2333,-0.10082089333796124
1718987996.7849126,2525,0.0606554475736768
1718988044.0883608,2589,-0.04603124876278897
1718988094.4592814,2653,-0.16097838280251547
1718988140.8067157,2717,0.004926764547127371
1718988190.4770203,2781,-0.0203266076917773
1718988242.4427161,2845,0.48968454649989246
1718988345.019866,2973,0.3426169472276849
1718988501.489475,3165,0.05394506942538513
1718988755.401906,3485,-0.1375848405005174
1718988905.9685202,3677,-0.12995192554718865
1718989008.5803144,3805,0.4591068900142774
1718989050.1035054,3869,-0.6210434020350242
1718989102.9832587,3933,0.2623020669550322
1718989449.186298,4381,-0.1222853036488129
1718989597.597211,4573,0.4982957351280417
1718989695.68099,4701,0.14452057858558298
1718989745.5712957,4765,0.5726385120974189
1718989795.443931,4829,0.36939969831336195
1718990000.8267567,5085,0.5479636542468866
1718990050.638504,5149,0.5356410347584604
1718990105.1227725,5213,0.651253950389135
1718990259.0476463,5405,0.7204293926171592
1718990310.7229943,5469,0.5748080255499708
1718990467.8003829,5661,0.1328648219513855
1718990663.7200673,5917,0.8064690326427293
1718990759.760847,6045,0.3568832184333228
1718990860.695733,6173,-0.17919926518428986
1718990908.6726995,6237,0.4899100789380626
1718990962.391904,6301,-0.059092502078921416
1718991011.669517,6365,0.2881126097840425
1718991063.370768,6429,0.7011769976661828
1718991113.3682733,6493,0.0021822622571239236
