Wall time,Step,Value,Smoothed Value
1718994139.1281157,113,0.6490770824170068,0.5652475523667851
1718994137.5188816,114,-0.28022962044656174,0.175253355925282
1718994140.9446516,117,0.5172838849932233,0.281355507635033
1718994169.9308207,152,0.6810724739056764,0.3574701126405779
1718994221.4558213,217,-0.4442583210615466,0.2020157539452307
1718994221.2708592,217,-0.44276028852065674,0.0923596379357961
1718994224.862782,222,-0.09202054128303554,0.0765042876991664
1718994234.3951995,232,0.4951219022303923,0.1247900324772724
1718994250.5912206,252,0.43786736740742105,0.1585854511324979
1718994277.262309,283,0.42652311181512126,0.1902612807421732
1718994278.8074393,285,0.37049015802162943,0.2048885756788586
1718994299.2275968,314,0.27578509068781176,0.2091844837244765
1718994299.4405904,314,-0.18898799266809482,0.1733318457888732
1718994299.7106826,315,-0.23531554133509486,0.140034100566368
1718994310.6155365,327,0.42300672611629875,0.161100831559137
1718994323.8003454,341,-0.06494232546246054,0.1461024145360985
1718994321.7144718,343,-0.21255806128565283,0.1288637644482618
1718994322.869386,344,-0.184692135641162,0.1104002132729067
1718994329.883388,354,-0.20407747102220822,0.0903043258254267
1718994334.2386472,356,0.3106676686246709,0.0990181717795919
1718994343.3496559,371,0.45518162063711587,0.1134693296534617
1718994348.1831841,373,-0.014299801178345811,0.1023717175209172
1718994347.2106168,374,-0.49014132267214605,0.0707162799604344
1718994376.8125684,415,0.3298165953356216,0.0825820555941585
1718994381.6194048,416,0.1672175728105126,0.0822684257060446
1718994392.4434314,433,0.6500964837971173,0.1050862635857397
1718994394.8382993,434,-0.42286050349476234,0.0814214871998237
1718994405.1251538,448,0.49570531193454526,0.0970252423880016
1718994407.429967,450,0.4635439479247093,0.1119849769970296
1718994414.4819934,462,0.2761890866822255,0.1176862490265782
1718994415.4601157,463,-0.30813769462923696,0.1104220530670361
1718994418.8795528,464,0.44837628972135046,0.1085271075970024
1718994421.8621464,471,0.22024417597464974,0.1088258723348697
1718994478.788102,541,0.5115940983424712,0.1289007089458756
1718994529.1095028,605,0.8643624656539111,0.143228026489271
1718994582.8211646,669,0.36090714626715037,0.1578873475608177
1718994633.7232473,733,0.7660003749596469,0.1670235847262095
1718994682.717785,797,0.21024506040316138,0.1815669537536055
1718994836.2002823,989,0.8385270465905106,0.1894711417486164
1718994887.9549236,1053,0.5357667389907375,0.1997234703563335
1718994983.1899378,1181,0.5068691401065353,0.1957133228166655
1718995086.2459884,1309,0.6609114455900591,0.2080250929760392
1718995136.0962954,1373,0.9509306638449511,0.2174903754638174
1718995187.5445056,1437,0.1742151435983773,0.2218249111614343
1718995238.7053833,1501,0.18711154667616103,0.2275661650316082
1718995292.3889873,1565,0.763102796781268,0.2383901256584475
1718995388.4239626,1693,-0.26735202022200993,0.2348263597385753
1718995437.9049761,1757,0.17839737741967787,0.2387566262571255
1718995488.3837051,1821,0.5042769078971872,0.237275544995299
1718995534.8530045,1885,0.6841061300171669,0.2366329178023316
1718995641.6714573,2013,0.7419146142225492,0.2428363023418148
1718995739.9109974,2141,0.8949749894268146,0.2505884456536089
1718995792.369717,2205,0.47449097557724396,0.2512116953103077
1718995893.6737566,2333,0.7282178563401209,0.2561820836569847
